series_id,category,value,timestamp
M2,MICRO,1680,1990-01
M2,MICRO,1920,1990-02
M2,MICRO,120,1990-03
M2,MICRO,1080,1990-04
M2,MICRO,840,1990-05
M2,MICRO,1440,1990-06
M2,MICRO,480,1990-07
M2,MICRO,720,1990-08
M2,MICRO,4080,1990-09
M2,MICRO,1560,1990-10
M2,MICRO,480,1990-11
M2,MICRO,720,1990-12
M2,MICRO,6120,1991-01
M2,MICRO,2040,1991-02
M2,MICRO,3960,1991-03
M2,MICRO,2160,1991-04
M2,MICRO,120,1991-05
M2,MICRO,1200,1991-06
M2,MICRO,1080,1991-07
M2,MICRO,1080,1991-08
M2,MICRO,1080,1991-09
M2,MICRO,2160,1991-10
M2,MICRO,240,1991-11
M2,MICRO,1440,1991-12
M2,MICRO,1200,1992-01
M2,MICRO,1560,1992-02
M2,MICRO,2520,1992-03
M2,MICRO,600,1992-04
M2,MICRO,1560,1992-05
M2,MICRO,3240,1992-06
M2,MICRO,7440,1992-07
M2,MICRO,480,1992-08
M2,MICRO,2640,1992-09
M2,MICRO,960,1992-10
M2,MICRO,3120,1992-11
M2,MICRO,1200,1992-12
M2,MICRO,960,1993-01
M2,MICRO,480,1993-02
M2,MICRO,600,1993-03
M2,MICRO,120,1993-04
M2,MICRO,2640,1993-05
M2,MICRO,720,1993-06
M2,MICRO,600,1993-07
M2,MICRO,840,1993-08
M2,MICRO,1320,1993-09
M2,MICRO,2160,1993-10
M2,MICRO,1200,1993-11
M2,MICRO,1800,1993-12
M2,MICRO,1320,1994-01
M2,MICRO,600,1994-02
M2,MICRO,1440,1994-03
M2,MICRO,840,1994-04
M2,MICRO,1440,1994-05
M2,MICRO,1560,1994-06
M2,MICRO,1080,1994-07
M2,MICRO,360,1994-08
M2,MICRO,960,1994-09
M2,MICRO,1320,1994-10
M2,MICRO,1080,1994-11
M2,MICRO,1680,1994-12
M2,MICRO,1080,1995-01
M2,MICRO,840,1995-02
M2,MICRO,840,1995-03
M2,MICRO,600,1995-04
M2,MICRO,1320,1995-05
M2,MICRO,1320,1995-06
M2,MICRO,2280,1995-07
M2,MICRO,1440,1995-08
M3,MICRO,1140,1990-01
M3,MICRO,720,1990-02
M3,MICRO,4860,1990-03
M3,MICRO,1200,1990-04
M3,MICRO,3150,1990-05
M3,MICRO,2130,1990-06
M3,MICRO,1800,1990-07
M3,MICRO,2010,1990-08
M3,MICRO,2880,1990-09
M3,MICRO,1650,1990-10
M3,MICRO,1740,1990-11
M3,MICRO,4440,1990-12
M3,MICRO,7410,1991-01
M3,MICRO,3000,1991-02
M3,MICRO,4410,1991-03
M3,MICRO,4980,1991-04
M3,MICRO,2040,1991-05
M3,MICRO,3000,1991-06
M3,MICRO,5430,1991-07
M3,MICRO,4650,1991-08
M3,MICRO,2520,1991-09
M3,MICRO,2250,1991-10
M3,MICRO,2100,1991-11
M3,MICRO,5730,1991-12
M3,MICRO,2550,1992-01
M3,MICRO,6450,1992-02
M3,MICRO,1050,1992-03
M3,MICRO,3240,1992-04
M3,MICRO,3960,1992-05
M3,MICRO,3030,1992-06
M3,MICRO,2850,1992-07
M3,MICRO,4380,1992-08
M3,MICRO,4080,1992-09
M3,MICRO,4140,1992-10
M3,MICRO,5160,1992-11
M3,MICRO,5100,1992-12
M3,MICRO,3480,1993-01
M3,MICRO,4350,1993-02
M3,MICRO,5550,1993-03
M3,MICRO,4200,1993-04
M3,MICRO,5640,1993-05
M3,MICRO,4980,1993-06
M3,MICRO,3810,1993-07
M3,MICRO,3540,1993-08
M3,MICRO,8760,1993-09
M3,MICRO,5610,1993-10
M3,MICRO,6090,1993-11
M3,MICRO,4980,1993-12
M3,MICRO,7680,1994-01
M3,MICRO,5550,1994-02
M3,MICRO,6540,1994-03
M3,MICRO,4920,1994-04
M3,MICRO,1710,1994-05
M3,MICRO,3420,1994-06
M3,MICRO,5910,1994-07
M3,MICRO,6720,1994-08
M3,MICRO,4650,1994-09
M3,MICRO,2550,1994-10
M3,MICRO,8640,1994-11
M3,MICRO,7680,1994-12
M3,MICRO,6720,1995-01
M3,MICRO,5190,1995-02
M3,MICRO,5190,1995-03
M3,MICRO,5910,1995-04
M3,MICRO,4800,1995-05
M3,MICRO,5640,1995-06
M3,MICRO,5790,1995-07
M3,MICRO,4230,1995-08
M4,MICRO,180,1990-01
M4,MICRO,940,1990-02
M4,MICRO,2040,1990-03
M4,MICRO,800,1990-04
M4,MICRO,1000,1990-05
M4,MICRO,520,1990-06
M4,MICRO,500,1990-07
M4,MICRO,400,1990-08
M4,MICRO,1760,1990-09
M4,MICRO,1520,1990-10
M4,MICRO,1400,1990-11
M4,MICRO,1840,1990-12
M4,MICRO,3360,1991-01
M4,MICRO,220,1991-02
M4,MICRO,6000,1991-03
M4,MICRO,3160,1991-04
M4,MICRO,1060,1991-05
M4,MICRO,820,1991-06
M4,MICRO,2860,1991-07
M4,MICRO,440,1991-08
M4,MICRO,1880,1991-09
M4,MICRO,220,1991-10
M4,MICRO,1460,1991-11
M4,MICRO,4620,1991-12
M4,MICRO,1360,1992-01
M4,MICRO,3220,1992-02
M4,MICRO,1500,1992-03
M4,MICRO,1940,1992-04
M4,MICRO,3100,1992-05
M4,MICRO,2340,1992-06
M4,MICRO,2540,1992-07
M4,MICRO,1720,1992-08
M4,MICRO,1560,1992-09
M4,MICRO,4580,1992-10
M4,MICRO,1340,1992-11
M4,MICRO,3860,1992-12
M4,MICRO,2440,1993-01
M4,MICRO,2180,1993-02
M4,MICRO,2020,1993-03
M4,MICRO,4160,1993-04
M4,MICRO,2760,1993-05
M4,MICRO,3480,1993-06
M4,MICRO,2240,1993-07
M4,MICRO,5900,1993-08
M4,MICRO,6720,1993-09
M4,MICRO,7500,1993-10
M4,MICRO,4880,1993-11
M4,MICRO,7780,1993-12
M4,MICRO,4360,1994-01
M4,MICRO,4640,1994-02
M4,MICRO,7420,1994-03
M4,MICRO,4260,1994-04
M4,MICRO,2740,1994-05
M4,MICRO,3200,1994-06
M4,MICRO,7140,1994-07
M4,MICRO,6960,1994-08
M4,MICRO,5760,1994-09
M4,MICRO,2280,1994-10
M4,MICRO,12300,1994-11
M4,MICRO,8800,1994-12
M4,MICRO,9660,1995-01
M4,MICRO,5860,1995-02
M4,MICRO,6600,1995-03
M4,MICRO,8100,1995-04
M4,MICRO,7760,1995-05
M4,MICRO,6940,1995-06
M4,MICRO,8020,1995-07
M4,MICRO,6400,1995-08
M5,MICRO,2000,1990-01
M5,MICRO,1550,1990-02
M5,MICRO,4450,1990-03
M5,MICRO,3050,1990-04
M5,MICRO,3050,1990-05
M5,MICRO,2250,1990-06
M5,MICRO,2200,1990-07
M5,MICRO,2450,1990-08
M5,MICRO,4900,1990-09
M5,MICRO,5300,1990-10
M5,MICRO,600,1990-11
M5,MICRO,12050,1990-12
M5,MICRO,4050,1991-01
M5,MICRO,1900,1991-02
M5,MICRO,3200,1991-03
M5,MICRO,7400,1991-04
M5,MICRO,10650,1991-05
M5,MICRO,9850,1991-06
M5,MICRO,4000,1991-07
M5,MICRO,11500,1991-08
M5,MICRO,2750,1991-09
M5,MICRO,5700,1991-10
M5,MICRO,3900,1991-11
M5,MICRO,9200,1991-12
M5,MICRO,3000,1992-01
M5,MICRO,5550,1992-02
M5,MICRO,3300,1992-03
M5,MICRO,4700,1992-04
M5,MICRO,6250,1992-05
M5,MICRO,4550,1992-06
M5,MICRO,8550,1992-07
M5,MICRO,4400,1992-08
M5,MICRO,5200,1992-09
M5,MICRO,3800,1992-10
M5,MICRO,3750,1992-11
M5,MICRO,11100,1992-12
M5,MICRO,6800,1993-01
M5,MICRO,6600,1993-02
M5,MICRO,5100,1993-03
M5,MICRO,5400,1993-04
M5,MICRO,11400,1993-05
M5,MICRO,9400,1993-06
M5,MICRO,4150,1993-07
M5,MICRO,7500,1993-08
M5,MICRO,11150,1993-09
M5,MICRO,7250,1993-10
M5,MICRO,5650,1993-11
M5,MICRO,12000,1993-12
M5,MICRO,11550,1994-01
M5,MICRO,7450,1994-02
M5,MICRO,7350,1994-03
M5,MICRO,6500,1994-04
M5,MICRO,2700,1994-05
M5,MICRO,8700,1994-06
M5,MICRO,9250,1994-07
M5,MICRO,10250,1994-08
M5,MICRO,9550,1994-09
M5,MICRO,6450,1994-10
M5,MICRO,9800,1994-11
M5,MICRO,12450,1994-12
M5,MICRO,10050,1995-01
M5,MICRO,8400,1995-02
M5,MICRO,10000,1995-03
M5,MICRO,10950,1995-04
M5,MICRO,10700,1995-05
M5,MICRO,8800,1995-06
M5,MICRO,7550,1995-07
M5,MICRO,8800,1995-08
M6,MICRO,1200,1990-01
M6,MICRO,2850,1990-02
M6,MICRO,1350,1990-03
M6,MICRO,1500,1990-04
M6,MICRO,1950,1990-05
M6,MICRO,1950,1990-06
M6,MICRO,600,1990-07
M6,MICRO,1650,1990-08
M6,MICRO,2250,1990-09
M6,MICRO,3000,1990-10
M6,MICRO,1500,1990-11
M6,MICRO,2400,1990-12
M6,MICRO,300,1991-01
M6,MICRO,2250,1991-02
M6,MICRO,1500,1991-03
M6,MICRO,2100,1991-04
M6,MICRO,3600,1991-05
M6,MICRO,3300,1991-06
M6,MICRO,4500,1991-07
M6,MICRO,150,1991-08
M6,MICRO,5700,1991-09
M6,MICRO,600,1991-10
M6,MICRO,750,1991-11
M6,MICRO,1650,1991-12
M6,MICRO,150,1992-01
M6,MICRO,1950,1992-02
M6,MICRO,1800,1992-03
M6,MICRO,1350,1992-04
M6,MICRO,1200,1992-05
M6,MICRO,2550,1992-06
M6,MICRO,1200,1992-07
M6,MICRO,2550,1992-08
M6,MICRO,2550,1992-09
M6,MICRO,1350,1992-10
M6,MICRO,3150,1992-11
M6,MICRO,1500,1992-12
M6,MICRO,3150,1993-01
M6,MICRO,3150,1993-02
M6,MICRO,1500,1993-03
M6,MICRO,3150,1993-04
M6,MICRO,2550,1993-05
M6,MICRO,2250,1993-06
M6,MICRO,3750,1993-07
M6,MICRO,450,1993-08
M6,MICRO,1350,1993-09
M6,MICRO,2100,1993-10
M6,MICRO,1800,1993-11
M6,MICRO,6750,1993-12
M6,MICRO,2400,1994-01
M6,MICRO,4200,1994-02
M6,MICRO,450,1994-03
M6,MICRO,2400,1994-04
M6,MICRO,3000,1994-05
M6,MICRO,1650,1994-06
M6,MICRO,1950,1994-07
M6,MICRO,750,1994-08
M6,MICRO,3150,1994-09
M6,MICRO,2700,1994-10
M6,MICRO,6150,1994-11
M6,MICRO,1500,1994-12
M6,MICRO,1650,1995-01
M6,MICRO,1650,1995-02
M6,MICRO,4050,1995-03
M6,MICRO,1650,1995-04
M6,MICRO,3150,1995-05
M6,MICRO,150,1995-06
M6,MICRO,3900,1995-07
M6,MICRO,2100,1995-08
M7,MICRO,1350,1990-01
M7,MICRO,2400,1990-02
M7,MICRO,1950,1990-03
M7,MICRO,2250,1990-04
M7,MICRO,3000,1990-05
M7,MICRO,2400,1990-06
M7,MICRO,3000,1990-07
M7,MICRO,2850,1990-08
M7,MICRO,2550,1990-09
M7,MICRO,3600,1990-10
M7,MICRO,2850,1990-11
M7,MICRO,2250,1990-12
M7,MICRO,2100,1991-01
M7,MICRO,2100,1991-02
M7,MICRO,3750,1991-03
M7,MICRO,2250,1991-04
M7,MICRO,2400,1991-05
M7,MICRO,2400,1991-06
M7,MICRO,5550,1991-07
M7,MICRO,5250,1991-08
M7,MICRO,450,1991-09
M7,MICRO,3750,1991-10
M7,MICRO,1050,1991-11
M7,MICRO,2850,1991-12
M7,MICRO,2250,1992-01
M7,MICRO,1500,1992-02
M7,MICRO,3900,1992-03
M7,MICRO,3150,1992-04
M7,MICRO,2700,1992-05
M7,MICRO,3900,1992-06
M7,MICRO,2400,1992-07
M7,MICRO,2850,1992-08
M7,MICRO,2550,1992-09
M7,MICRO,1950,1992-10
M7,MICRO,4050,1992-11
M7,MICRO,3750,1992-12
M7,MICRO,4350,1993-01
M7,MICRO,3450,1993-02
M7,MICRO,1350,1993-03
M7,MICRO,3300,1993-04
M7,MICRO,3000,1993-05
M7,MICRO,2100,1993-06
M7,MICRO,4050,1993-07
M7,MICRO,1200,1993-08
M7,MICRO,1500,1993-09
M7,MICRO,2550,1993-10
M7,MICRO,4950,1993-11
M7,MICRO,6750,1993-12
M7,MICRO,3750,1994-01
M7,MICRO,7050,1994-02
M7,MICRO,2100,1994-03
M7,MICRO,3300,1994-04
M7,MICRO,5550,1994-05
M7,MICRO,4800,1994-06
M7,MICRO,3600,1994-07
M7,MICRO,5100,1994-08
M7,MICRO,3000,1994-09
M7,MICRO,2850,1994-10
M7,MICRO,5250,1994-11
M7,MICRO,1800,1994-12
M7,MICRO,3600,1995-01
M7,MICRO,3300,1995-02
M7,MICRO,5850,1995-03
M7,MICRO,5100,1995-04
M7,MICRO,3450,1995-05
M7,MICRO,3600,1995-06
M7,MICRO,6000,1995-07
M7,MICRO,2700,1995-08
M8,MICRO,2700,1990-01
M8,MICRO,3600,1990-02
M8,MICRO,1950,1990-03
M8,MICRO,4650,1990-04
M8,MICRO,3900,1990-05
M8,MICRO,3600,1990-06
M8,MICRO,3150,1990-07
M8,MICRO,2850,1990-08
M8,MICRO,2700,1990-09
M8,MICRO,3300,1990-10
M8,MICRO,3150,1990-11
M8,MICRO,4050,1990-12
M8,MICRO,1350,1991-01
M8,MICRO,2550,1991-02
M8,MICRO,1350,1991-03
M8,MICRO,1200,1991-04
M8,MICRO,1650,1991-05
M8,MICRO,1800,1991-06
M8,MICRO,6900,1991-07
M8,MICRO,3150,1991-08
M8,MICRO,3000,1991-09
M8,MICRO,2100,1991-10
M8,MICRO,3150,1991-11
M8,MICRO,2100,1991-12
M8,MICRO,2100,1992-01
M8,MICRO,750,1992-02
M8,MICRO,2250,1992-03
M8,MICRO,5250,1992-04
M8,MICRO,2400,1992-05
M8,MICRO,2400,1992-06
M8,MICRO,300,1992-07
M8,MICRO,2250,1992-08
M8,MICRO,2400,1992-09
M8,MICRO,1950,1992-10
M8,MICRO,4500,1992-11
M8,MICRO,2550,1992-12
M8,MICRO,6300,1993-01
M8,MICRO,1500,1993-02
M8,MICRO,750,1993-03
M8,MICRO,1500,1993-04
M8,MICRO,1950,1993-05
M8,MICRO,2550,1993-06
M8,MICRO,2850,1993-07
M8,MICRO,150,1993-08
M8,MICRO,3150,1993-09
M8,MICRO,3450,1993-10
M8,MICRO,2850,1993-11
M8,MICRO,7800,1993-12
M8,MICRO,2550,1994-01
M8,MICRO,4200,1994-02
M8,MICRO,3000,1994-03
M8,MICRO,3000,1994-04
M8,MICRO,2550,1994-05
M8,MICRO,2250,1994-06
M8,MICRO,3900,1994-07
M8,MICRO,4200,1994-08
M8,MICRO,2550,1994-09
M8,MICRO,1350,1994-10
M8,MICRO,7950,1994-11
M8,MICRO,1950,1994-12
M8,MICRO,1500,1995-01
M8,MICRO,2250,1995-02
M8,MICRO,4950,1995-03
M8,MICRO,1650,1995-04
M8,MICRO,4200,1995-05
M8,MICRO,2700,1995-06
M8,MICRO,4800,1995-07
M8,MICRO,1950,1995-08
M9,MICRO,3680,1990-01
M9,MICRO,2600,1990-02
M9,MICRO,2460,1990-03
M9,MICRO,3860,1990-04
M9,MICRO,4640,1990-05
M9,MICRO,2200,1990-06
M9,MICRO,1360,1990-07
M9,MICRO,2400,1990-08
M9,MICRO,4040,1990-09
M9,MICRO,2700,1990-10
M9,MICRO,2580,1990-11
M9,MICRO,1340,1990-12
M9,MICRO,3740,1991-01
M9,MICRO,3220,1991-02
M9,MICRO,4020,1991-03
M9,MICRO,2720,1991-04
M9,MICRO,2760,1991-05
M9,MICRO,3020,1991-06
M9,MICRO,3580,1991-07
M9,MICRO,1540,1991-08
M9,MICRO,3180,1991-09
M9,MICRO,3980,1991-10
M9,MICRO,2780,1991-11
M9,MICRO,3300,1991-12
M9,MICRO,6240,1992-01
M9,MICRO,5180,1992-02
M9,MICRO,1680,1992-03
M9,MICRO,1740,1992-04
M9,MICRO,2660,1992-05
M9,MICRO,2520,1992-06
M9,MICRO,1780,1992-07
M9,MICRO,2940,1992-08
M9,MICRO,2400,1992-09
M9,MICRO,3120,1992-10
M9,MICRO,4000,1992-11
M9,MICRO,3260,1992-12
M9,MICRO,4240,1993-01
M9,MICRO,3740,1993-02
M9,MICRO,3060,1993-03
M9,MICRO,3380,1993-04
M9,MICRO,4260,1993-05
M9,MICRO,2120,1993-06
M9,MICRO,900,1993-07
M9,MICRO,2800,1993-08
M9,MICRO,4900,1993-09
M9,MICRO,4820,1993-10
M9,MICRO,2780,1993-11
M9,MICRO,3540,1993-12
M9,MICRO,4840,1994-01
M9,MICRO,5100,1994-02
M9,MICRO,2820,1994-03
M9,MICRO,5620,1994-04
M9,MICRO,3380,1994-05
M9,MICRO,1480,1994-06
M9,MICRO,2320,1994-07
M9,MICRO,3320,1994-08
M9,MICRO,4380,1994-09
M9,MICRO,2200,1994-10
M9,MICRO,3540,1994-11
M9,MICRO,2480,1994-12
M9,MICRO,2060,1995-01
M9,MICRO,2820,1995-02
M9,MICRO,2820,1995-03
M9,MICRO,2280,1995-04
M9,MICRO,2740,1995-05
M9,MICRO,1140,1995-06
M9,MICRO,1900,1995-07
M9,MICRO,4240,1995-08
M10,MICRO,4120,1990-01
M10,MICRO,5020,1990-02
M10,MICRO,3840,1990-03
M10,MICRO,5720,1990-04
M10,MICRO,4960,1990-05
M10,MICRO,1960,1990-06
M10,MICRO,3780,1990-07
M10,MICRO,3620,1990-08
M10,MICRO,6700,1990-09
M10,MICRO,3780,1990-10
M10,MICRO,5340,1990-11
M10,MICRO,3280,1990-12
M10,MICRO,4980,1991-01
M10,MICRO,6220,1991-02
M10,MICRO,5400,1991-03
M10,MICRO,5180,1991-04
M10,MICRO,5280,1991-05
M10,MICRO,4460,1991-06
M10,MICRO,2180,1991-07
M10,MICRO,2560,1991-08
M10,MICRO,5280,1991-09
M10,MICRO,4480,1991-10
M10,MICRO,5820,1991-11
M10,MICRO,5720,1991-12
M10,MICRO,8340,1992-01
M10,MICRO,7080,1992-02
M10,MICRO,4160,1992-03
M10,MICRO,2460,1992-04
M10,MICRO,3440,1992-05
M10,MICRO,3120,1992-06
M10,MICRO,3240,1992-07
M10,MICRO,3560,1992-08
M10,MICRO,3260,1992-09
M10,MICRO,4780,1992-10
M10,MICRO,6400,1992-11
M10,MICRO,3880,1992-12
M10,MICRO,5080,1993-01
M10,MICRO,4760,1993-02
M10,MICRO,4460,1993-03
M10,MICRO,7580,1993-04
M10,MICRO,5740,1993-05
M10,MICRO,1780,1993-06
M10,MICRO,1480,1993-07
M10,MICRO,4600,1993-08
M10,MICRO,5440,1993-09
M10,MICRO,5260,1993-10
M10,MICRO,5060,1993-11
M10,MICRO,3460,1993-12
M10,MICRO,6260,1994-01
M10,MICRO,6140,1994-02
M10,MICRO,4380,1994-03
M10,MICRO,5080,1994-04
M10,MICRO,4740,1994-05
M10,MICRO,3800,1994-06
M10,MICRO,5060,1994-07
M10,MICRO,4260,1994-08
M10,MICRO,4540,1994-09
M10,MICRO,2900,1994-10
M10,MICRO,4500,1994-11
M10,MICRO,3540,1994-12
M10,MICRO,3840,1995-01
M10,MICRO,4080,1995-02
M10,MICRO,3620,1995-03
M10,MICRO,3820,1995-04
M10,MICRO,4880,1995-05
M10,MICRO,2800,1995-06
M10,MICRO,3640,1995-07
M10,MICRO,4100,1995-08
M11,MICRO,2180,1990-01
M11,MICRO,3540,1990-02
M11,MICRO,3260,1990-03
M11,MICRO,3460,1990-04
M11,MICRO,3000,1990-05
M11,MICRO,2140,1990-06
M11,MICRO,2100,1990-07
M11,MICRO,3220,1990-08
M11,MICRO,3860,1990-09
M11,MICRO,3460,1990-10
M11,MICRO,3980,1990-11
M11,MICRO,1780,1990-12
M11,MICRO,4980,1991-01
M11,MICRO,3120,1991-02
M11,MICRO,2840,1991-03
M11,MICRO,4320,1991-04
M11,MICRO,3200,1991-05
M11,MICRO,3320,1991-06
M11,MICRO,1660,1991-07
M11,MICRO,2300,1991-08
M11,MICRO,3280,1991-09
M11,MICRO,3940,1991-10
M11,MICRO,3180,1991-11
M11,MICRO,3680,1991-12
M11,MICRO,6100,1992-01
M11,MICRO,4300,1992-02
M11,MICRO,2160,1992-03
M11,MICRO,1880,1992-04
M11,MICRO,3700,1992-05
M11,MICRO,2280,1992-06
M11,MICRO,2020,1992-07
M11,MICRO,1800,1992-08
M11,MICRO,2480,1992-09
M11,MICRO,2120,1992-10
M11,MICRO,5580,1992-11
M11,MICRO,3180,1992-12
M11,MICRO,3340,1993-01
M11,MICRO,2700,1993-02
M11,MICRO,3640,1993-03
M11,MICRO,3440,1993-04
M11,MICRO,2720,1993-05
M11,MICRO,1440,1993-06
M11,MICRO,1260,1993-07
M11,MICRO,2980,1993-08
M11,MICRO,3480,1993-09
M11,MICRO,3720,1993-10
M11,MICRO,3460,1993-11
M11,MICRO,2020,1993-12
M11,MICRO,4980,1994-01
M11,MICRO,3380,1994-02
M11,MICRO,2920,1994-03
M11,MICRO,3540,1994-04
M11,MICRO,2620,1994-05
M11,MICRO,2540,1994-06
M11,MICRO,2100,1994-07
M11,MICRO,3900,1994-08
M11,MICRO,3940,1994-09
M11,MICRO,2200,1994-10
M11,MICRO,3640,1994-11
M11,MICRO,3000,1994-12
M11,MICRO,2600,1995-01
M11,MICRO,2800,1995-02
M11,MICRO,2400,1995-03
M11,MICRO,3420,1995-04
M11,MICRO,2980,1995-05
M11,MICRO,1780,1995-06
M11,MICRO,2800,1995-07
M11,MICRO,3520,1995-08
M12,MICRO,1000,1990-01
M12,MICRO,1600,1990-02
M12,MICRO,12600,1990-03
M12,MICRO,5320,1990-04
M12,MICRO,10720,1990-05
M12,MICRO,800,1990-06
M12,MICRO,4640,1990-07
M12,MICRO,600,1990-08
M12,MICRO,880,1990-09
M12,MICRO,320,1990-10
M12,MICRO,16340,1990-11
M12,MICRO,1240,1990-12
M12,MICRO,8480,1991-01
M12,MICRO,1960,1991-02
M12,MICRO,9980,1991-03
M12,MICRO,2080,1991-04
M12,MICRO,5760,1991-05
M12,MICRO,11200,1991-06
M12,MICRO,2440,1991-07
M12,MICRO,18100,1991-08
M12,MICRO,1520,1991-09
M12,MICRO,16180,1991-10
M12,MICRO,1280,1991-11
M12,MICRO,16380,1991-12
M12,MICRO,1980,1992-01
M12,MICRO,880,1992-02
M12,MICRO,1600,1992-03
M12,MICRO,1560,1992-04
M12,MICRO,6020,1992-05
M12,MICRO,1120,1992-06
M12,MICRO,2300,1992-07
M12,MICRO,1100,1992-08
M12,MICRO,5760,1992-09
M12,MICRO,5980,1992-10
M12,MICRO,2660,1992-11
M12,MICRO,7920,1992-12
M12,MICRO,5240,1993-01
M12,MICRO,15080,1993-02
M12,MICRO,940,1993-03
M12,MICRO,10720,1993-04
M12,MICRO,600,1993-05
M12,MICRO,6780,1993-06
M12,MICRO,7380,1993-07
M12,MICRO,2340,1993-08
M12,MICRO,1320,1993-09
M12,MICRO,1560,1993-10
M12,MICRO,8320,1993-11
M12,MICRO,1760,1993-12
M12,MICRO,5380,1994-01
M12,MICRO,13820,1994-02
M12,MICRO,7360,1994-03
M12,MICRO,980,1994-04
M12,MICRO,1180,1994-05
M12,MICRO,2940,1994-06
M12,MICRO,8840,1994-07
M12,MICRO,3780,1994-08
M12,MICRO,1140,1994-09
M12,MICRO,2200,1994-10
M12,MICRO,4000,1994-11
M12,MICRO,10120,1994-12
M12,MICRO,300,1995-01
M12,MICRO,6860,1995-02
M12,MICRO,3540,1995-03
M12,MICRO,3540,1995-04
M12,MICRO,120,1995-05
M12,MICRO,2400,1995-06
M12,MICRO,14320,1995-07
M12,MICRO,140,1995-08
M13,MICRO,1100,1990-01
M13,MICRO,1700,1990-02
M13,MICRO,3950,1990-03
M13,MICRO,2700,1990-04
M13,MICRO,6650,1990-05
M13,MICRO,3700,1990-06
M13,MICRO,3500,1990-07
M13,MICRO,1750,1990-08
M13,MICRO,2400,1990-09
M13,MICRO,2450,1990-10
M13,MICRO,5200,1990-11
M13,MICRO,2900,1990-12
M13,MICRO,3000,1991-01
M13,MICRO,6250,1991-02
M13,MICRO,6350,1991-03
M13,MICRO,5700,1991-04
M13,MICRO,2100,1991-05
M13,MICRO,2250,1991-06
M13,MICRO,1450,1991-07
M13,MICRO,2750,1991-08
M13,MICRO,2350,1991-09
M13,MICRO,6800,1991-10
M13,MICRO,3950,1991-11
M13,MICRO,4950,1991-12
M13,MICRO,3200,1992-01
M13,MICRO,5700,1992-02
M13,MICRO,3150,1992-03
M13,MICRO,2400,1992-04
M13,MICRO,1300,1992-05
M13,MICRO,4700,1992-06
M13,MICRO,6600,1992-07
M13,MICRO,1350,1992-08
M13,MICRO,4950,1992-09
M13,MICRO,2200,1992-10
M13,MICRO,4850,1992-11
M13,MICRO,2350,1992-12
M13,MICRO,2400,1993-01
M13,MICRO,1500,1993-02
M13,MICRO,3300,1993-03
M13,MICRO,2100,1993-04
M13,MICRO,3800,1993-05
M13,MICRO,1550,1993-06
M13,MICRO,4700,1993-07
M13,MICRO,2150,1993-08
M13,MICRO,550,1993-09
M13,MICRO,3950,1993-10
M13,MICRO,550,1993-11
M13,MICRO,2000,1993-12
M13,MICRO,4150,1994-01
M13,MICRO,5900,1994-02
M13,MICRO,2700,1994-03
M13,MICRO,2500,1994-04
M13,MICRO,4650,1994-05
M13,MICRO,2750,1994-06
M13,MICRO,9250,1994-07
M13,MICRO,2100,1994-08
M13,MICRO,1650,1994-09
M13,MICRO,2150,1994-10
M13,MICRO,5000,1994-11
M13,MICRO,2550,1994-12
M13,MICRO,3750,1995-01
